Дитизон, чда;No-image.jpg;1;83;3006/3017,4;1;Укр;1 кг/ 100 грамм. черного цвета;0;0;1;
Дифенилкарбазид, чда;No-image.jpg;1;84;3900/4200;1;Укр;1 кг/ 100 грамм;0;0;1;
Дифенилкарбазон, чда ;No-image.jpg;1;85;6000/6300;1;Укр;1 кг/ 100 грамм;0;0;1;
Доксициклина гидрохлорид;No-image.jpg;1;86;1320/1560;1;имп;25 кг/ 1 кг. Фасовка 1 кг. НЕ ФАСУЕТСЯ.;0;0;1;
Дульцит, чда;No-image.jpg;1;87;4206/4217,4;1;имп;1 кг/ 100 грамм;0;0;1;
Желатин пищ (импорт) bloom 150;No-image.jpg;1;88;168/137,4;1;имп;1 кг/ 100 грамм;0;0;1;
Желатин пищ (импорт) bloom 200;No-image.jpg;1;89;330/369;1;имп;1 кг/ 100 грамм;0;0;1;
Железо (II) сернокислое 7-водное, чда;No-image.jpg;1;90;39/48/66;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Железо (II) сернокислое 7-водное, ч;No-image.jpg;1;91;18/27/60;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Железо (II) сернокислое (железный купорос), тех;No-image.jpg;1;92;10,8/22,2;1;Укр;1 кг/ 100 грамм;0;0;1;
Железо (III) сернокислое 7-водное, ч  ;No-image.jpg;1;93;99/120/138;1;имп;Гранулы. 1 кг/ 100 грамм;0;0;1;
Железо (III) хлорное 6-водное, ч;No-image.jpg;1;94;51/87/99;1;имп;40 кг/ 1 кг/ 100 грамм;0;0;1;
Известь натронная, чда;No-image.jpg;1;95;216/227,4;1;имп;1 кг/ 100 грамм;0;0;1;
Известь хлорная;No-image.jpg;1;96;30;1;имп; Тарное место 20 кг;0;0;1;
Индигокармин, чда;No-image.jpg;1;97;1050/1200;1;имп;1 кг/ 100 грамм;0;0;1;
Инозит (инозитол, мезоинозит, витамин В8), ч;No-image.jpg;1;98;906/917,4;1;имп;Тарное место 25 кг. 1 кг/ 100 грамм;0;0;1;
Йод кристаллический, чда;No-image.jpg;1;99;1050/1200;1;имп;1 кг/ 100 грамм;0;0;1;
Йодоформ, ч;No-image.jpg;1;100;2700;1;Укр;Фасовка 1 кг. НЕ ФАСУЕТСЯ!!!;0;0;1;
Кадмий сернокислый 8-водный, чда;No-image.jpg;1;101;129/135/146,4;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кадмий хлористый 2,5-водный, чда;No-image.jpg;1;102;504/600/900;1;имп;1 кг/ 100 грамм;0;0;1;
Казеин;No-image.jpg;1;103;93/104,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Калий азотнокислый, чда;No-image.jpg;1;104;126/156/280,2;1;Укр; 25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий азотнокислый, ч;No-image.jpg;1;105;90/120/150;1;имп; 25 кг/ 1 кг/ 100 грамм.;0;0;1;
Калий бромистый, чда;No-image.jpg;1;106;192/203,4;1;Укр; 1 кг/ 100 грамм;0;0;1;
Калий бромистый, ч;No-image.jpg;1;107;180/222;1;имп;1 кг/ 100 грамм;0;0;1;
Калий гидроокись, чда (Чехия);No-image.jpg;1;108;162/174/198;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий гидроокись, тех (Корея) ;No-image.jpg;1;109;42/87/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий гидроокись, тех (Франция) ;No-image.jpg;1;110;42/87/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий железистосинеродистый (II) (желтая кр.соль), хч;No-image.jpg;1;111;222/300;1;имп;1 кг/ 100 грамм;0;0;1;
Калий железистосинеродистый (II) (желтая кр.соль), ч;No-image.jpg;1;112;129/150/168;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий двухромовокислый, хч;No-image.jpg;1;113;870/960;1;имп;1 кг/ 100 грамм;0;0;1;
Калий железосинеродистый (III) (красная кр.соль), ч;No-image.jpg;1;114;192/210;1;Укр;Цена за кг. 1 кг/ 100 грамм;0;0;1;
Калий йодистый, фарм   ;No-image.jpg;1;115;804/930/1200;1;имп;25 кг/ 1 кг/ 100 грамм.;0;0;1;
Калий йодноватокислый, ч;No-image.jpg;1;116;1206/1217,4;1;имп;1 кг/ 100 грамм;0;0;1;
Калий надсернокислый (пероксодисульфат), 105091, Мерк;No-image.jpg;1;117;306/317,4;1;имп;Цена за кг. 1 кг/ 100 грамм;0;0;1;
Калий надсернокислый, чда;No-image.jpg;1;118;54/87/99;1;Укр;Тарное место/ 1 кг/ 100 грамм;0;0;1;
Калий натрий виннокислый (сегнетова соль), хч;No-image.jpg;1;119;90/132;1;имп;1 кг/ 100 грамм;0;0;1;
Калий натрий виннокислый (сегнетова соль), чда (Китай);No-image.jpg;1;120;84/93/120;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий натрий углекислый, чда ;No-image.jpg;1;121;48/58/90;1;Укр;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий роданистый, ч (Китай);No-image.jpg;1;122;120/150/180;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий сернокислый, хч ;No-image.jpg;1;123;270/369;1;имп;1 кг/ 100 грамм;0;0;1;
Калий сернокислый, чда;No-image.jpg;1;124;174/186/240;1;Укр;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий сернокислый, ч;No-image.jpg;1;125;45/54/78;1;имп;1 кг/ 100 грамм;0;0;1;
Калий сурьмяновиннокислый (калий-сурьма оксид тартрат), ч;No-image.jpg;1;126;480/510;1;имп;1 кг/ 100 грамм;0;0;1;
Калий углекислый, ч;No-image.jpg;1;127;210/240;1;имп;1 кг/ 100 грамм;0;0;1;
Калий фосфорнокислый 1-зам (дигидрофосфат) б/в, тех;No-image.jpg;1;128;57/78/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий фосфорнокислый 2-замещенный (гидрофосфат) б/в, ч Бельгия;No-image.jpg;1;129;87,9/96/132;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий фосфорнокислый пиро 4-зам, ч;No-image.jpg;1;130;99/108/126;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий фталевокислый кислый, чда;No-image.jpg;1;131;390/450;1;имп;1 кг/ 100 грамм;0;0;1;
Калий хлористый, хч;No-image.jpg;1;132;63/69/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий хромовокислый, чда;No-image.jpg;1;133;264/270/300;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Калий щавелевокислый 1-вод, ч;No-image.jpg;1;134;57/68,4;1;"имп;Укр";1 кг/ 100 грамм;0;0;1
Кальций азотнокислый 4-водный, тех;No-image.jpg;1;135;13,2/21/45;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кальций гидроокись, ч;No-image.jpg;1;136;9,9/18/45;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кальций лимоннокислый 4-водный, чда;No-image.jpg;1;137;54/65,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Кальций окись, ч;No-image.jpg;1;138;48/87;1;имп;1 кг/ 100 грамм;0;0;1;
Кальций сернокислый 2-водный, ч;No-image.jpg;1;139;21/30/60;1;имп;20 кг/ 1 кг/ 100 грамм;0;0;1;
Кальций стеариновокислый;No-image.jpg;1;140;78/89,4;1;имп;1 кг/ 100 грамм;0;0;1;
Кальций углекислый, чда;No-image.jpg;1;141;27/36/87;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кальций хлористый (б/в), пищ (гранулы);No-image.jpg;1;142;21/48/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кальций хлористый 6-водный, фарм;No-image.jpg;1;143;57/87/99;1;имп;Кристаллы белого цвета  (водянистые). 25 кг/ 1 кг/ 100 грамм;0;0;1;
Кандурин (Candurin), натуральный пигмент коричневый, пищ, 120617, Мерк  0,025 кг;No-image.jpg;1;144;2100;1;имп;Фасовка 0,025 кг. Не фасуется. Цена за кг;0;0;1;
Карбюризатор;No-image.jpg;1;145;45;1;Укр;Цена за кг. Фасовка 15кг;0;0;1;
Катионит КУ-2-8;No-image.jpg;1;146;39/77,4;1;имп;1 кг/ 100 грамм;0;0;1;
Квасцы алюмокалиевые, ч (Китай);No-image.jpg;1;147;14,7/18/60;1;имп;50 кг/ 1 кг/ 100 грамм;0;0;1;
Квасцы железоаммонийные, чда;No-image.jpg;1;148;147/189;1;Укр;1 кг/ 100 грамм;0;0;1;
Квасцы хромокалиевые, ч;No-image.jpg;1;149;147/180;1;имп;1 кг/ 100 грамм;0;0;1;
Квасцы хромокалиевые, тех;No-image.jpg;1;150;93/129/150;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кверцетин, 152003, Merck;No-image.jpg;1;151;9000;1;имп;Цена за кг. Фасовка 10 грамм;0;0;1;
Кобальт (II) азотнокислый 6-вод, чда;No-image.jpg;1;152;396/420/600;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Кобальт (II,III) окись, ч;No-image.jpg;1;153;666/677,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Кобальт (II) сернокислый 7-водный, ч (Co: 20 % min);No-image.jpg;1;154;390/420/450;1;имп;Тарное место 20 кг/ 1 кг/ 100 грамм;0;0;1;
Кобальт хлористый 6-водный, чда ;No-image.jpg;1;155;480/540/780;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Конго красный,чда;No-image.jpg;1;156;450/510;1;имп;1 кг/ 100 грамм;0;0;1;
Крахмал водорастворимый, чда;No-image.jpg;1;157;288/330;1;Укр;1 кг/ 100 грамм;0;0;1;
Кремневольфрамовая кислота, чда;No-image.jpg;1;158;546/557,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Кристалический фиолетовый (генцан виолет), чда;No-image.jpg;1;159;480/510/690;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Ксиленоловый оранжевый, чда;No-image.jpg;1;160;3900/4200;1;имп;1 кг/ 100 грамм;0;0;1;
Ксилоза (D), чда;No-image.jpg;1;161;786/797,4;1;имп;1 кг/ 100 грамм;0;0;1;
Диметилбензол-пара лабораторный, ч (пара-ксилол);No-image.jpg;1;162;;1;имп;Бутыль по 17 кг.  ПРОДАЕМ ТОЛЬКО КАК ДИМЕТИЛБЕНЗОЛ-ПАРА ЛАБОРАТОРНЫЙ;0;0;1;
Купферон (N-нитрозо-N-фенилгидроксиламин аммонийная соль), чда;No-image.jpg;1;163;2886/2897,4;1;имп;1 кг/ 100 грамм;0;0;1;
Лактоза, пищ;No-image.jpg;1;164;42/69/87;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Лантан азотнокислый 6-водный, чда;No-image.jpg;1;165;1506/1517,4;1;имп;1 кг/ 100 грамм;0;0;1;
Левомицетин, фарм;No-image.jpg;1;166;2100;1;имп;Цена за кг. Фасовка 1 кг. НЕ ФАСУЕТСЯ;0;0;1;
Легкосмываемый красный;No-image.jpg;1;167;5100;1;имп;Фасовка по 0,005 кг. Не фасуется;0;0;1;
Лизин гидрохлорид (L), чда;No-image.jpg;1;168;189/270;1;имп;1 кг/ 100 грамм;0;0;1;
Лейцин, ч (L);No-image.jpg;1;169;570/726/900;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Лимонная кислота б/в, фарм;No-image.jpg;1;170;33/78/99;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Лимонная кислота моногидрат, пищ ;No-image.jpg;1;171;29,7/66/99;1;имп;25 кг/ 1 кг/ 100 грамм.;0;0;1;
Литий гидроокись, хч;No-image.jpg;1;172;1200;1;имн;Цена за 1 кг.;0;0;1;
Магний азотнокислый 6-вод, ч;No-image.jpg;1;173;30/41,4;1;имп;1 кг/ 100 грамм. Тарное место 25 кг;0;0;1;
Магний гидроксид карбонат (heavy), фарм, 105829.9040, Мерк;No-image.jpg;1;174;168/180/210;1;имп;Тарное место 40 кг/ 1 кг/ 100 грамм;0;0;1;
Магний окись, чда;No-image.jpg;1;175;168/210;1;имп;1 кг/ 100 грамм;0;0;1;
Магний окись, тех;No-image.jpg;1;176;66/99/120;1;имп;Тарное место 10 кг/ 1 кг/ 100 грамм;0;0;1;
Магний сернокислый 7-водный, чда;No-image.jpg;1;177;45/75;1;имп;1 кг/ 100 грамм;0;0;1;
Магний углекислый основной, фарм;No-image.jpg;1;178;138/168/180;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Магний хлористый 6-водный, ч (Германия);No-image.jpg;1;179;45;1;имп;Цена за 1 кг.;0;0;1;
Магний хлорнокислый (ангидрон), ч;No-image.jpg;1;180;2106/2117,4;1;Укр;1 кг/ 100 грамм;0;0;1;
